2025-07-15 16:05:38 EEST LOG:  database system shutdown was interrupted; last known up at 2025-07-15 16:04:59 EEST
2025-07-15 16:05:39 EEST LOG:  database system was not properly shut down; automatic recovery in progress
2025-07-15 16:05:39 EEST LOG:  redo starts at 0/1BB58E8
2025-07-15 16:05:39 EEST LOG:  invalid record length at 0/1BB59F0: expected at least 24, got 0
2025-07-15 16:05:39 EEST LOG:  redo done at 0/1BB59B8 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-07-15 16:05:39 EEST LOG:  checkpoint starting: end-of-recovery immediate wait
2025-07-15 16:05:39 EEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.003 s, total=0.014 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/1BB59F0, redo lsn=0/1BB59F0
2025-07-15 16:06:31 EEST ERROR:  canceling statement due to user request
2025-07-15 16:06:31 EEST ERROR:  canceling statement due to user request
2025-07-15 16:06:31 EEST LOG:  shutting down
2025-07-15 16:06:31 EEST LOG:  checkpoint starting: shutdown immediate
2025-07-15 16:06:31 EEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.012 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1BB5AA0, redo lsn=0/1BB5AA0
